PERSONAJE,VARIANTES,ORIGEN,FACCION,CARGO/PARCIALIDAD,COMMENT,PAGE,CONTEXTO,URL_IMAGEN
Abacote,,indio,aliado,,,,,
Agaces,,indio,aliado,,,,,
Alvar Nuñez Cabeza de Vaca,,conquistador,alvarista,,"Enviado como gobernador al Río de la Plata, debió enfrentar un motín en su contra",,,https://commons.wikimedia.org/wiki/File:Cabeza_de_Vaca_Portrait.jpg
Alonso Cabrera,,conquistador,,,,,,
Andrés Hernandez,,conquistador,,,,,,
Anton Martin del Castillo,,conquistador,alvarista,,,,,
Anton Martin Escaso,,conquistador,,,,,,
Antonio Pineda,,conquistador,,,,,,
Antonio de Ayala,,conquistador,,,,,,
Baldes,,conquistador,,,,,,
Bernardo de Armenta,,conquistador,iralistas,,,,,
Bernardo de Castañeda,,conquistador,,,,,,
Carios,,indio,enemigo,,,,,
Carlos de Guevara,,conquistador,,,,,,
Chaneses,,indio,aliado,,,,,
Domingo de Irala,,conquistador,iralista,,Líder de la conspiración contra Cabeza de Vaca luego de cederle el cargo de gobernador,,,https://commons.wikimedia.org/wiki/File:Domingo_Mart%C3%ADnez_de_Irala.jpg
Dubrin,,conquistador,,,,,,
Estevan de Vallejos,,conquistador,,,,,,
Felipe de Cáceres,,conquistador,iralista,,,,,
Francisco Alvarez Gaitan,,conquistador,iralista,,,,,
Francisco Gimenes,,conquistador,,,,,,
Francisco Gonzalez Paniagua,,conquistador,,,,,,
Francisco Palomino,,conquistador,,,,,,
Francisco Perez,,conquistador,,,,,,
Francisco Ruiz,,conquistador,,,,,,
Francisco de Andrada,,conquistador,,,,,,
Francisco de Ontiveros,,conquistador,,,,,,
Francisco de Zamora,,conquistador,,,,,,
Franco Ruiz Galan,,conquistador,,,,,,
Garcia Benegas,,conquistador,,,,,,
Garcia Venegas,,conquistador,,,,,,
Gonsalo Chave,,conquistador,,,,,,
Gonzalo Rodriguez,,conquistador,,,,,,
Gonzalo de Acosta,,conquistador,iralista,,,,,
Gonzalo de Alvarado,,conquistador,,,,,,
Gonzalo de Mendoza,,conquistador,iralista,,,,,
Hernando Barrio Nuevo,,conquistador,,,,,,
Jacomé Luis,,conquistador,,,,,,
Juan Perez,,conquistador,,,,,,
Juan Ruiz,,conquistador,,,,,,
Juan de Ayolas,,conquistador,,,,,,
Juan de Burgos,,conquistador,,,,,,
Juan de Cáceres,,conquistador,,,,,,
Juan de Ortega,,conquistador,,,,,,
Juan de Salazar Despinosa,,conquistador,,,,,,
Juan de Santiago,,conquistador,,,,,,
Leon Pancaldo,,conquistador,,,,,,
Lopez de los Rios,,conquistador,,,,,,
Lorenzo Moquirara,Moquirara,indio,,,,,,
Martin Canos,,conquistador,,,,,,
Martin de Orue,,conquistador,,,,,,
Tarapecoas,,conquistador,,,,,,
Payaguás,,indio,enemigo,,,,,
Pedro Dorantes,,conquistador,iralista,,,,,
Pedro de Mendoza,,conquistador,alvarista,,,,,
Pedro de Mendoza Indio,,indio,iralista,,,,,
Pedro de Molina,,conquistador,alvarista,,,,,
Pero Bocanegra,,conquistador,,,,,,
Pero Hernández,,conquistador,alvarista,,,,,
Pero Diaz del Valle,,conquistador,,,,,,
Pero Diaz,,conquistador,,,,,,
Pero Mendez,,conquistador,,,,,,
Rodrigo Gomez,,conquistador,,,,,,
Sancho de Salinas,,conquistador,,,,,,
Sebastián Gaboto,,conquistador,,,,,,
Tarapecoas,,indio,enemigo,,,,,
Tristan de Ballartas,,conquistador,,,,,,
